Feature,Importance
trans_ct,0.3132881863987166
revolving_bal,0.1745827081013498
trans_amt,0.17220081700487747
ct_chg_q4_q1,0.10125992666103327
relationships,0.09711936405270713
avg_trans_amt,0.03960565244556862
amt_chg_q4_q1,0.03483473678431162
trans_ct_per_month,0.017213008162414938
contact_count,0.015052712123165337
age,0.01063193511685435
inactive_months,0.010492393583259948
trans_amt_per_month,0.004424884658610608
credit_growth_rate,0.0037286872510624036
open_to_buy,0.0015884117253195293
tenure_months,0.001555219804636484
